Entity Identifier;EntityType Identifier;Categories;File name (file_name);Image stock number (eth_image_stock_number);Photographer (eth_photographer);"Title (title;en)";"Description (description;en)";Dating (eth_dating);"Is part of (eth_is_part_of;en)";Impressum (eth_imprint);"Physical description (eth_physical_description;en)";"Dimension (eth_dimension;en)";Special size (eth_special_dimensions);"Orientation (eth_form;en)";"Colour (eth_colour;en)";DOI Link (eth_doi_link);License (eth_license);"Availabilty (eth_availability;en)";"Copyright notice (eth_copyright_notice;en)";"Comments (eth_comments;en)"
d7f2160a-48dc-4da7-ad2f-1ebe69f67366;AssetSet;86878cfe-c003-4af0-8340-aa0e83f0211c, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, 33e35255-026a-406c-9ef1-a5e68c6ae47e, bf8854cf-327e-471d-a270-2af6c26d2a9a, 444cbf98-db2a-4f70-83e6-dd3b2c2fa966, d32bbc1f-6931-4e22-8508-293b91bf8aaa, 810bd695-b335-448c-9b40-557256606625, 3742b87e-fa0c-47a2-a95b-8bea54e1ac8a, 41feb4b8-55db-4665-8455-927f734544f3, ba6978b4-3749-4ea3-aaeb-2afb48b1ac0d, 36c5613e-aa5a-4173-962d-796f0df8cf68, 14709f32-a727-4799-b324-b28d66e34913, 6a6f6abe-3233-475a-8a06-2ec4d67fbdab, fe49158e-498e-479b-a695-36e2bf25e182, 180f7c2c-afe6-4cc1-b3a1-45311043b437, d54223df-d85d-4b78-bc22-77f898f719b3, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR03-08886.tif;8886;Swissair, Fotograf;Cockpit of a Sud-Aviation SE-210 Caravelle III of Swissair;;1960;;;Photography : negative;13 x 18 cm;;Horizontal;black and white;http://doi.org/10.3932/ethz-a-000236914;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR03-08886;
ef463d68-d1c7-4191-9bf7-61293853785d;AssetSet;50c06da6-d646-44fc-ab67-53d0dbe5b829, bf8854cf-327e-471d-a270-2af6c26d2a9a, 5d330987-d9b4-4cf6-89dc-06adfc48e2bd, 3742b87e-fa0c-47a2-a95b-8bea54e1ac8a, d54223df-d85d-4b78-bc22-77f898f719b3, b27a5373-b503-4aaf-9535-e91a8b6b2ba1, e334a879-6648-4907-9ad6-a86d3d587f94, 33e35255-026a-406c-9ef1-a5e68c6ae47e, a0f54f53-a526-41aa-8637-2ca452d9a41b, c0f08837-0d25-4c20-a26f-ba4cbbd5756d, 5ce0001f-dd4a-4d95-bfb4-3a3dc57e9c89, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, 48e10ac3-b8f1-4039-b6b4-c88d41a8dcfc, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, 59896f01-75e5-4263-a9b3-9a2be010caca, 05a01383-41e1-4c07-9e45-dbe5eb5bab35, 562497af-f5dd-4676-a34d-415e9efbb3d7, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR03-08912.tif;8912;Swissair, Fotograf;Data processing in the Swissair administration building at Hirschengraben 84 in Zurich, early 1960s;;1948-1955;;;Photography : negative;9 x 12 cm;;Horizontal;black and white;http://doi.org/10.3932/ethz-a-000241304;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR03-08912;
18f971d0-1d11-46fa-86c8-94ef319710da;AssetSet;787358a9-f810-47bd-ba07-09c9ce31da5e, bf8854cf-327e-471d-a270-2af6c26d2a9a, fdc15814-bd6a-4bb0-b0ba-b2e945d746bb, 41feb4b8-55db-4665-8455-927f734544f3, b480bf6d-91eb-486b-9654-b6c05fb6ba9f, 676abce2-153e-46bd-8b0a-41f018449fdf, 14709f32-a727-4799-b324-b28d66e34913, 444cbf98-db2a-4f70-83e6-dd3b2c2fa966, d32bbc1f-6931-4e22-8508-293b91bf8aaa, 33e35255-026a-406c-9ef1-a5e68c6ae47e, 61e2cb6c-4bd6-487e-93d5-2506337cb787, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, e669b15b-4bf7-480d-9b28-29c1bbafdb63, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, fe49158e-498e-479b-a695-36e2bf25e182, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR03-08915.tif;8915;Swissair, Fotograf;Test stand for jet engines at Zurich-Kloten with a Pratt & Whitney JT3 or JT4 engine for the Douglas DC-8;2nd from left Jean-Pierre Dick, Project Manager Test Bench Construction (Sulzer Winterthur);22.12.1960;;;Photography : negative;13 x 18 cm;;Horizontal;black and white;http://doi.org/10.3932/ethz-a-000236925;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR03-08915;
27f3bcbe-5df5-4a68-bcc2-c915c15a0a94;AssetSet;e669b15b-4bf7-480d-9b28-29c1bbafdb63, 5d330987-d9b4-4cf6-89dc-06adfc48e2bd, b480bf6d-91eb-486b-9654-b6c05fb6ba9f, 33e35255-026a-406c-9ef1-a5e68c6ae47e, 787358a9-f810-47bd-ba07-09c9ce31da5e, 61e2cb6c-4bd6-487e-93d5-2506337cb787, 444cbf98-db2a-4f70-83e6-dd3b2c2fa966, bf8854cf-327e-471d-a270-2af6c26d2a9a, 676abce2-153e-46bd-8b0a-41f018449fdf, d32bbc1f-6931-4e22-8508-293b91bf8aaa, 48e10ac3-b8f1-4039-b6b4-c88d41a8dcfc, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, 41feb4b8-55db-4665-8455-927f734544f3, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR03-08917-A.tif;08917a;Swissair, Fotograf;Control and monitoring console in the engine test stand for Swissair's DC-8 in Zurich-Kloten;Engine test stand DC-8;22.12.1960;;;Photography : negative;13 x 18 cm;;Horizontal;black and white;http://doi.org/10.3932/ethz-a-000236927;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR03-08917-A;
c7285058-3073-44c6-8cff-c7365d83b55b;AssetSet;562497af-f5dd-4676-a34d-415e9efbb3d7, 3470c90d-2e04-4922-8cf0-ecac7c647819, 50c06da6-d646-44fc-ab67-53d0dbe5b829, b27a5373-b503-4aaf-9535-e91a8b6b2ba1, bf8854cf-327e-471d-a270-2af6c26d2a9a, 33e35255-026a-406c-9ef1-a5e68c6ae47e, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, 113a7545-2d7d-4852-b3e9-ec4dc48590ad, e49f950a-c967-4c85-a98f-9e9cdb35b799, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, d54223df-d85d-4b78-bc22-77f898f719b3, 127086f9-3fde-450a-985f-3e3894c53333, 8f60a9fb-78ea-477b-8b87-a624be80f28d, a0f54f53-a526-41aa-8637-2ca452d9a41b, 5ce0001f-dd4a-4d95-bfb4-3a3dc57e9c89, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR03-08924-17.tif;08924:17;Swissair, Fotograf;Walter Berchtold at his desk;Dr. Walter Berchtold was Chairman of the Executive Board and Delegate of the Board of Directors of Swissair from 1950-1971, and President of IATA (International Air Transport Association) from 1952-53.;07.04.1961;;;Photography : negative;6 x 6 cm;;Square;black and white;http://doi.org/10.3932/ethz-a-000244989;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR03-08924-17;
97eaa8f4-94ea-40da-b70d-3ccb318e6a04;AssetSet;d54223df-d85d-4b78-bc22-77f898f719b3, 676abce2-153e-46bd-8b0a-41f018449fdf, e2b4039b-0253-413c-b058-f06a8c16bb36, e24c6787-4fcb-47d9-97b6-a25653f17bcf, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, 86878cfe-c003-4af0-8340-aa0e83f0211c, bf8854cf-327e-471d-a270-2af6c26d2a9a, 33e35255-026a-406c-9ef1-a5e68c6ae47e, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, e334a879-6648-4907-9ad6-a86d3d587f94, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR03-08974-28.tif;08974:28;Swissair, Fotograf;Swissair laundry/lingerie in the in-flight service building/catering facility at Zurich-Kloten Airport;;8/1961;On-board service buildings/catering facilities, 1961. Reportage with 35 pictures (all digitized).;;Photography : negative;9 x 12 cm;;Horizontal;black and white;http://doi.org/10.3932/ethz-a-000241366;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR03-08974-28;
ff6f85f7-f41e-4f75-8259-679899350e4c;AssetSet;4c72441e-726b-464b-95a7-75c178a1bee1, e669b15b-4bf7-480d-9b28-29c1bbafdb63, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, c52ae57d-d242-4be1-9ad6-353cd4d800d0, 33e35255-026a-406c-9ef1-a5e68c6ae47e, 61e2cb6c-4bd6-487e-93d5-2506337cb787, a0f54f53-a526-41aa-8637-2ca452d9a41b, 41feb4b8-55db-4665-8455-927f734544f3, e334a879-6648-4907-9ad6-a86d3d587f94, b480bf6d-91eb-486b-9654-b6c05fb6ba9f, d54223df-d85d-4b78-bc22-77f898f719b3, d32bbc1f-6931-4e22-8508-293b91bf8aaa, 3742b87e-fa0c-47a2-a95b-8bea54e1ac8a, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, 0df7759d-bc4f-404d-9985-6a2b9b4ad472, bf8854cf-327e-471d-a270-2af6c26d2a9a, 676abce2-153e-46bd-8b0a-41f018449fdf, 14709f32-a727-4799-b324-b28d66e34913, 5d330987-d9b4-4cf6-89dc-06adfc48e2bd, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR03-08981-05.tif;08981:05;Swissair, Fotograf;Replacing a General Electric CJ-805-3 engine on a Swissair Convair CV-880 at Zurich-Kloten;Lifting platform for engines;14.09.1961;;;Photography : negative;9 x 12 cm;;Horizontal;black and white;http://doi.org/10.3932/ethz-a-000241389;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR03-08981-05;
fa3ec8c0-da66-45c6-9548-00555d75b9d8;AssetSet;d32bbc1f-6931-4e22-8508-293b91bf8aaa, e669b15b-4bf7-480d-9b28-29c1bbafdb63, f0734acf-748c-4445-8364-efd2908da4a0, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, 676abce2-153e-46bd-8b0a-41f018449fdf, 36c5613e-aa5a-4173-962d-796f0df8cf68, 640731e5-d54a-44ca-a25b-8cbc4b603e66, 190034d4-940d-4004-89a6-5d9f6a8a5496, 59bc8081-a484-4e33-ad19-79931fe32580, d54223df-d85d-4b78-bc22-77f898f719b3, 33e35255-026a-406c-9ef1-a5e68c6ae47e, fe49158e-498e-479b-a695-36e2bf25e182, d47f2ffa-e31e-465f-b9c9-f777a99b9c00, bf8854cf-327e-471d-a270-2af6c26d2a9a, 86878cfe-c003-4af0-8340-aa0e83f0211c, a1e3d972-36d1-4e73-854a-8142d489d109, 0a96243f-eee3-4184-9fde-4ca8134989b7, 863d5565-bfc6-44a2-a84e-021f47583fd9, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, ea96ec4f-3f39-4fa4-aa2c-a8395b392213, b9820a39-b916-44d3-b0c9-18bb9e337a56, 60edd095-0a1c-416b-a3a4-8b2637a1f20b, 14709f32-a727-4799-b324-b28d66e34913, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR03-09013-02.tif;09013:02;Swissair, Fotograf;"Swissair hostess course IV/1961 in front of a Convair CV-440-11 Metropolitan, HB-IMM ""Valais"" in Zurich-Kloten";;1961;;;Photography : negative;9 x 12 cm;;Horizontal;black and white;http://doi.org/10.3932/ethz-a-000240885;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR03-09013-02;
0eda5228-da95-4241-88cc-175c8e7d8254;AssetSet;85124a65-6af9-41c5-a54d-423e3d3c0b3c, e669b15b-4bf7-480d-9b28-29c1bbafdb63, 14709f32-a727-4799-b324-b28d66e34913, 41feb4b8-55db-4665-8455-927f734544f3, bf8854cf-327e-471d-a270-2af6c26d2a9a, 13259ed2-0be4-47db-bc42-50db1641398e, 874717db-23a7-49ce-a488-31d51cdbaf58, 676abce2-153e-46bd-8b0a-41f018449fdf, d32bbc1f-6931-4e22-8508-293b91bf8aaa, c4fc01c4-1ec5-4768-9084-c2bf6f0e2ca7, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, 88642a59-74b2-4b4f-aee6-64e75ae9425e, 33e35255-026a-406c-9ef1-a5e68c6ae47e, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR03-09027-03.tif;09027:03;Swissair, Fotograf;Driveways to the airport building in Zurich-Kloten;;21.03.1962;;;Photography : negative;9 x 12 cm;;Horizontal;black and white;http://doi.org/10.3932/ethz-a-000240897;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR03-09027-03;
e468e584-b2c1-4461-9361-82488bbc00e1;AssetSet;41feb4b8-55db-4665-8455-927f734544f3, bc01789e-8ab6-4a15-92e8-163a3e499f35, 33e35255-026a-406c-9ef1-a5e68c6ae47e, 764f9c9b-827f-4d36-a1e1-d5d9739060bf, e669b15b-4bf7-480d-9b28-29c1bbafdb63, f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d, 7caff26d-45fe-4d89-b351-0602a6019d64, bf8854cf-327e-471d-a270-2af6c26d2a9a, 14709f32-a727-4799-b324-b28d66e34913, 99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b, f1ed69cc-c76b-483a-a7ef-a5a3f51ae5f0, 874717db-23a7-49ce-a488-31d51cdbaf58, d32bbc1f-6931-4e22-8508-293b91bf8aaa, 676abce2-153e-46bd-8b0a-41f018449fdf, 88642a59-74b2-4b4f-aee6-64e75ae9425e, 226321f3-dbeb-49b9-8b3f-f40bd42cd9fc;LBS_SR03-09027-02.tif;09027:02;Swissair, Fotograf;Airport building in Zurich-Kloten from the street side;;21.03.1962;;;Photography : negative;9 x 12 cm;;Horizontal;black and white;http://doi.org/10.3932/ethz-a-000240896;Creative Commons BY-SA 4.0;Free download and use;ETH Library Zurich, Image Archive / LBS_SR03-09027-02;
