Category Identifier;Category Name;Category Path;Category Name (de);Category Name (en);Category Path (en)
1f389b8a-6287-4564-9963-119684514e11;Communication technology equipment;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Objects + Machines\Instruments + Appliances\Communication technology equipment;Communication technology equipment;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Objects + Machines\Instruments + Appliances\Communication technology equipment
af7806e9-a81c-4374-938d-49d920dfe70d;Chair (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Chair (machine-generated)";Chair (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Chair (machine-generated)"
36c5613e-aa5a-4173-962d-796f0df8cf68;Military (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Military (machine-generated)";Military (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Military (machine-generated)"
41feb4b8-55db-4665-8455-927f734544f3;No person (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\No person (machine-generated)";No person (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\No person (machine-generated)"
fe49158e-498e-479b-a695-36e2bf25e182;Airplane (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Airplane (machine-generated)";Airplane (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Airplane (machine-generated)"
5d330987-d9b4-4cf6-89dc-06adfc48e2bd;Technology (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Technology (machine-generated)";Technology (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Technology (machine-generated)"
85124a65-6af9-41c5-a54d-423e3d3c0b3c;Architectural photography;Asset\ETHBIB.Bildarchiv\Genre\Architectural photography;Architectural photography;Asset\ETHBIB.Bildarchiv\Genre\Architectural photography
99e4bca9-ee28-46a5-b01c-8cf7b4d7c51b;Swissair Archive;Asset\ETHBIB.Bildarchiv\Holdings\Private institutions\Swissair Archive;Swissair Archive;Asset\ETHBIB.Bildarchiv\Holdings\Private institutions\Swissair Archive
05a01383-41e1-4c07-9e45-dbe5eb5bab35;Swissair photo archive;Asset\ETHBIB.Bildarchiv\You knew more! Thank you!\Swissair photo archive;Swissair photo archive;Asset\ETHBIB.Bildarchiv\You knew more! Thank you!\Swissair photo archive
f0dbd39c-57fe-4cfe-9b66-dafe424d9e7d;Humans (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Humans (machine-generated)";Humans (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Humans (machine-generated)"
d32bbc1f-6931-4e22-8508-293b91bf8aaa;Vehicle (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Vehicle (machine-generated)";Vehicle (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Vehicle (machine-generated)"
d3ecb878-7a8f-4cf6-9191-2ac9a38968a6;Scientist (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Scientist (machine-generated)";Scientist (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Scientist (machine-generated)"
59896f01-75e5-4263-a9b3-9a2be010caca;Indoor (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Indoor (machine-generated)";Indoor (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Indoor (machine-generated)"
6cae0121-5288-428a-a106-fb88b68204d4;Power (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Power (machine-generated)";Power (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Power (machine-generated)"
f2b21b56-5869-4a68-b8b1-90655abe94a6;Kids, adolescents;Asset\ETHBIB.Bildarchiv\Genre\Portrait photography\One-person and two-persons portraits\Kids, adolescents;Kids, adolescents;Asset\ETHBIB.Bildarchiv\Genre\Portrait photography\One-person and two-persons portraits\Kids, adolescents
ec7c9000-f7f5-4485-a16e-107fd4ede087;Bomber (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Bomber (machine-generated)";Bomber (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Bomber (machine-generated)"
59bc8081-a484-4e33-ad19-79931fe32580;Army (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Army (machine-generated)";Army (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Army (machine-generated)"
04d8e311-b1b7-47fa-bb30-64ec17181a6e;Jet airplane (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Jet airplane (machine-generated)";Jet airplane (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Jet airplane (machine-generated)"
39a1a4c7-644f-4440-b834-0559a00c6dd6;Bord service, Cabin service;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\People in context\Transport\Air traffic\Bord service, Cabin service;Bord service, Cabin service;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\People in context\Transport\Air traffic\Bord service, Cabin service
35474658-7f4e-4e48-8dc6-81942bc97688;Motor (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Motor (machine-generated)";Motor (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Motor (machine-generated)"
51ac28e8-124f-48a0-8b21-098fecc24ea6;Spectators;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\People in context\Transport\Air traffic\Spectators;Spectators;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\People in context\Transport\Air traffic\Spectators
efd10ee1-2db8-4030-b6ef-2605b3dac687;Entry + Exit;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\People in context\Transport\Air traffic\Entry + Exit;Entry + Exit;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\People in context\Transport\Air traffic\Entry + Exit
