title,date,name,role,img,party
Fiechter et Spahr condamnés pour une campagne électorale raciste contre les Roms,01 mai 2018,Nils Fiechter,Co-président des JUDC bernois,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FNils_Fiechter_Profilbild_720x720_1_621897900_429bf815e8.jpg&w=3840&q=75,UDC - BE
Franz Grüter : un conseiller national UDC au cœur d’une affaire de commissions controversées,12 décembre 2020,Franz Grüter,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Ffranz_grueter_1_1861c22f2b.PNG&w=3840&q=75,UDC - LU
Franz Grüter affiche de la sympathie pour la politique migratoire de Trump,16 août 2025,Franz Grüter,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Ffranz_grueter_1_1861c22f2b.PNG&w=3840&q=75,UDC - LU
"Fraude en Espagne, blanchiment à Zoug : un politicien UDC au cœur du dispositif",11 février 2026,Manuel Brandenberg,Membre,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FBrandenberg_01_e1541021869121_720x720_57343c6775.jpg&w=3840&q=75,UDC - ZG
Freysinger compare la loi Covid au régime nazi,06 novembre 2021,Oskar Freysinger,Ancien conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFreysinger2_7c5ca01ac4.png&w=3840&q=75,UDC - VS
Freysinger engage un survivaliste aux propos pronazis,16 décembre 2016,Oskar Freysinger,Conseiller d'Etat,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFreysinger2_7c5ca01ac4.png&w=3840&q=75,UDC - VS
Freysinger ne souhaite plus scolariser les enfants sans-papiers et appelle à les dénoncer,13 mai 2014,Oskar Freysinger,Conseiller d'État,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFreysinger2_7c5ca01ac4.png&w=3840&q=75,UDC - VS
"Fuite WhatsApp: antisémitisme, racisme et violence au sein du RRP",16 avril 2025,Rassemblement romand patriote,Parti romand,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Frrp_ac6068eb80.png&w=3840&q=75,Rassemblement Romand Patriote - CH
Georg Tomman a tenu à plusieurs reprises des propos racistes,29 octobre 2025,Georg Tomman,Ancien conseiller communal,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGeorg_Tomman_b8ab259a45.png&w=3840&q=75,UDC - BE
Giuliano Bignasca a été condamné pour antisémitisme,01 décembre 1998,Giuliano Bignasca,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGiuliano_Bignasca_9479f39a43.png&w=3840&q=75,La Lega - TI
