title,date,name,role,img,party
L'ancien vice‑président de la JSVP St. Gallen identifié comme membre d’un groupe néonazi,10 janvier 2023,Samuel B.,Membre,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fquestion_mark_vector_icon_4037039933_4a92b66344.jpg&w=3840&q=75,UDC - SG
L'avocat genevois Pierre Schifferli sévèrement condamné,09 décembre 2020,Pierre Schifferli,Ancien député,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FPierre_Schifferli_a8b9ee69c2.png&w=3840&q=75,UDC - GE
L'histoire et la signification du symbole de la hallebarde,14 novembre 2025,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
La Commission contre le racisme épingle l'argumentaire antisémite d'Ueli Maurer,01 janvier 1997,Ueli Maurer,Président de l'UDC Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FUeli_Maurer_2022_07fd6f99aa.jpg&w=3840&q=75,UDC - ZH
La Commission fédérale antiracisme condamne le tweet de l'UDC,30 juin 2023,SVP - UDC,Parti national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
La Commission fédérale contre le racisme critique vivement la campagne de l'UDC,30 octobre 2023,SVP - UDC,Parti national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
La JSVP Berne invente un meurtre pour inciter à la haine contre les étrangers,07 octobre 2002,Junge SVP BE,Section cantonale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - BE
"La Lega, 30 ans de racisme",26 mars 2025,Lega dei Ticinesi,Parti politique,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FLogo_Ligue_des_Tessinois_e3afa88cb0.gif&w=3840&q=75,La Lega - TI
La PLR Armelle von Allmen-Benoit n'a pas voulu interdire les thérapies de conversion,03 mai 2023,Armelle von Allmen-Benoit,Grand Conseil,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FArmelle_von_Allmen_Benoit_de705953c5.png&w=3840&q=75,PLR - NE
La campagne de Joël Thüring (UDC) dérape,30 août 2023,Joël Thüring,Député au Grand Conseil,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJoel_Thuering_f67e1d1e24.png&w=3840&q=75,UDC - BS
"La dérive autoritaire de l’«Alliance Sécurité Suisse» menée par Reto Nause, l'UDC et le PLR",30 octobre 2025,Reto Nause,Conseiller municipal de Berne,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FReto_Nause_5282be5096.png&w=3840&q=75,Le Centre - BE
La migration comme sujet de campagne de l'UDC pour les élections fédérales 2023,03 août 2023,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
La pomme de la droite conservatrice crée la discorde,20 août 2019,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
Lars Guggisberg pointe les étrangers du doigt sur le sujet de violences aux femmes,10 décembre 2025,Lars Guggisberg,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Flars_guggisberg_1_a49b025bb4.jpg&w=3840&q=75,UDC - BE
"Laurent Leisi, un élu MCG raciste et homophobe",29 juin 2018,Laurent Leisi,Conseiller municipal ,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FLEISI_Laurent_9097c29b52.jpg&w=3840&q=75,MCG - GE
Le Comité d'Egerkingen veut placer les mosquées sous surveillance généralisée,09 mars 2025,Egerkinger Komitee,Association,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FComite_d_Egerkingen_logo_7f5e48efe3.png&w=3840&q=75,Comité d'Egerkingen - CH
Le Conseil de l'Europe accuse l'UDC de xénophobie,15 septembre 2009,SVP - UDC,Parti national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
Le Jeune UDC valaisan Léo Rouvinez a un tatouage nazi,13 août 2020,Léo Rouvinez,Membre,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fleo_97da3abf00.jpg&w=3840&q=75,UDC - VS
Le PLR utilise un visuel s'inspirant d'une campagne raciste de l'AfD,06 mai 2025,FDP - PLR,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fplr_aca176b572.png&w=3840&q=75,PLR - CH
"Le TF pointe l'ingérence de l'UDC, qui refuse de soutenir une juge en faveur de l'asile d'afghanes",19 décembre 2024,SVP - UDC,Parti Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
Le Tribunal fédéral confirme : Roland Schöni (UDC) condamné pour racisme envers les Roms,01 juin 2022,Roland Schöni,Chef de groupe UDC au parlement communal d'Arbon (TG),/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FRoland_Schoeni_1acaef6c4d.png&w=3840&q=75,UDC - TG
Le WEF et son fondateur Klaus Schwab accusés de discriminations raciales et sexistes,22 avril 2025,World Economic Forum,Ancien Président,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FWEF_1c24170c35.png&w=3840&q=75,World Economic Forum - CH
Le climatoscepticisme de l’UDC au Parlement,07 juin 2017,SVP - UDC,Parlementaires,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
Le coprésident du PLR court après l'UDC : Benjamin Mühlemann lie criminalité et nationalité,23 janvier 2026,Benjamin Mühlemann,Co-Président PLR et Conseiller aux États,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FBenjamin_Muehlemann2_9faea05bdf.png&w=3840&q=75,PLR - GL
Le député Henry Rappaz a publié une photo de singe en référence à Christiane Taubira,13 novembre 2013,Henry Rappaz,Député au Grand Conseil,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FHenry_Rappaz_c64929d539.png&w=3840&q=75,MCG - GE
Le dictateur biélorusse recrute des politiques d'extrême droite suisses comme observateurs,25 janvier 2025,Eric Weber,indépendant,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FEric_Weber_027232ca7f.jpg&w=3840&q=75,Autre - BS
Le jeune UDC valaisan Léo Rouvinez fait la promotion d’une néo-nazie sur Facebook,03 juillet 2020,Léo Rouvinez,Membre,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fleo_97da3abf00.jpg&w=3840&q=75,UDC - VS
Le ministre suisse de la Justice critique la norme antiracisme,04 octobre 2006,Christoph Blocher,Conseiller fédéral,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FBlocher2_6f226ff11d.png&w=3840&q=75,UDC - ZH
Le passé trouble de Dominique Baettig : Soutien à Rudolf Hess et revues antisémites,10 décembre 2009,Dominique Baettig,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FDominique_Baettig_ce3ef443a7.png&w=3840&q=75,UDC - JU
Le porte-parole de l'UDC tessinoise provoque un scandale raciste,31 août 2015,Corrado Galimberti,Porte-parole,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FCorrado_Galimberti_96c9874580.png&w=3840&q=75,UDC - TI
Le président de l'UDC Genève a cogné un homme avec une fourche jusqu'au sang,20 mai 2020,Lionel Dugerdil,Président UDC genevoise,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FLionel_Dugerdil_e8a8209ee6.png&w=3840&q=75,UDC - GE
Le président de l'UDC Schwytz parle d'«humour noir» pour des déguisements Ku Klux Klan,03 août 2019,Roland Lutz,Président de l'UDC Schwyz,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Froland_lutz_1_8b3402795c.jpg&w=3840&q=75,UDC - SZ
Le président de l'UDC de Meyrin accusé d’avoir frappé un élu municipal,19 juillet 2024,Jean-François Girardet,Président de l'UDC de Meyrin (GE),/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJean_Francois_Girardet_1619df58ba.png&w=3840&q=75,UDC - GE
Le président de l’UDC locale écope de 15 mois de prison avec sursis,01 mai 2024,Christophe Loperetti,Président section locale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FLOPERETTI_Christophe_06e874e20a.png&w=3840&q=75,UDC - VD
"Le président des Jeunes UDC Suisse, Anian Liebrand, a été condamné pour diffamation",31 mars 2015,Anian Liebrand,Président des Jeunes UDC Suisse,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FAnian_Liebrand_59e4b1158b.png&w=3840&q=75,UDF - LU
Le président du PBD utilise un symbole nazi pour dénoncer l’UDC,15 février 2016,Martin Landolt,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMartin_Landolt_b3fb00917f.png&w=3840&q=75,PBD - GL
Le président du groupe UDC de Wil a appelé sur Facebook à éradiquer l'islam,11 septembre 2014,Mario Schmitt,Président du groupe UDC de Wil,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMario_Schmitt_7d28e055a4.png&w=3840&q=75,UDC - SG
Le « programme d'action » anti-immigration de la JSVP Lucerne,16 octobre 2010,Anian Liebrand,Président des Jeunes UDC du canton de Lucerne,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FAnian_Liebrand_59e4b1158b.png&w=3840&q=75,UDF - LU
Le secrétaire de l’UDC poursuivi pour discrimination raciale,30 janvier 2015,Martin Baltisser,Secrétaire général de l’UDC,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMartin_Baltisser_63e51a44f4.png&w=3840&q=75,UDC - TG
Le syndic de Romont reconnu coupable de violence ou menace contre les autorités,15 novembre 2025,Jean-Claude Cornu,Syndic,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJean_Claude_Cornu_c4964b0d9f.jpg&w=3840&q=75,PLR - FR
Les Jeunes UDC Valais qualifient l'homosexualité de « comportement déviant »,15 juillet 2009,Jeunes UDC du Valais romand,Section Cantonale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fjeunes_VS_Romands_ee9ccbd398.png&w=3840&q=75,UDC - VS
Les Jeunes UDC associent Nemo et jihadisme,01 juin 2024,Junge SVP CH,Parti politique,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
Les Jeunes UDC diffament la gauche en l'accusant de « coûter des vies humaines »,24 mars 2024,Junge SVP CH,Parti Jeunes,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
Les Jeunes UDC estiment que la police aurait pu tirer à balles réelles sur les manifestants,15 octobre 2025,Junge SVP CH,Parti national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
Les jeunes UDC du canton de Schwyz lancent une initiative contre le langage inclusif,05 juillet 2025,Junge SVP SZ,Section Cantonale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - SZ
Les préjugés sans fondement de Sandra Sollberger,15 décembre 2025,Sandra Sollberger,Conseillère nationale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FSandra_Sollberger_48b07466a9.jpg&w=3840&q=75,UDC - BL
Les propos d'Ueli Maurer sur les femmes suscitent l'indignation,28 avril 2014,Ueli Maurer,Conseiller fédéral,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FUeli_Maurer_2022_07fd6f99aa.jpg&w=3840&q=75,UDC - ZH
Lionel Dugerdil a violenté physiquement son braqueur livré par la police,15 mai 2020,Lionel Dugerdil,Président UDC genevoise,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FLionel_Dugerdil_e8a8209ee6.png&w=3840&q=75,UDC - GE
"Lors d'un meeting d'Eric Zemmour, Addor parle de grand remplacement, civilisation menacée",17 février 2022,Jean-Luc Addor,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJean_Luc_Addor_a8cb33f684.jpg&w=3840&q=75,UDC - VS
"Lors de la campagne contre l'accord avec l'UE, Grangier tient des propos xénophobes",15 décembre 2025,Kevin Grangier,"Président de l'Alliance vaudoise, chef de campagne",/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fkevin_grangier_1_93ae8e3f2d.jpg&w=3840&q=75,UDC - VD
Lukas Reimann (UDC): « L’islam n’a pas sa place en Suisse »,17 novembre 2017,Lukas Reimann,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FLukas_Reimann_c1c58d555f.png&w=3840&q=75,UDC - SG
Lukas Reimann souhaite renforcer les valeurs patriotiques par l'école,06 mai 2025,Lukas Reimann,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FLukas_Reimann_c1c58d555f.png&w=3840&q=75,UDC - SG
Magdalena Martullo-Blocher admet être proche politiquement de Donald Trump,08 février 2025,Magdalena Martullo-Blocher,Conseillère nationale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fmagdalena_martullo_blocher_1_14db5358e4.png&w=3840&q=75,UDC - GR
Manfred Bühler banalise des symboles néonazis pour attaquer la RTS,18 février 2026,Manfred Bühler,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FManfred_Buehler_e241335467.png&w=3840&q=75,UDC - BE
Manfred Bühler: entre diffamation et calomnie sur les militants pro-palestiniens ,13 octobre 2025,Manfred Bühler,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FManfred_Buehler_e241335467.png&w=3840&q=75,UDC - BE
« Mann+Mann geht nicht » : le tweet homophobe de Christian Ineichen,09 septembre 2018,Christian Ineichen,Président du Centre LU,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FChristian_Ineichen_ca415c4c74.png&w=3840&q=75,Le Centre - LU
Manuel Cadonau (UDC) relaie les thèses climatosceptiques de Trump,12 février 2026,Manuel Cadonau,Président de l'UDC Ortspartei Au-Heerbrugg,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fmanuel_cadonau_1_b0743365b8.jfif&w=3840&q=75,UDC - SG
"Manuel Cadonau, fan absolu de Trump et sa police néo-fasciste ICE",02 février 2026,Manuel Cadonau,Président de l'UDC Ortspartei Au-Heerbrugg,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fmanuel_cadonau_1_b0743365b8.jfif&w=3840&q=75,UDC - SG
Manuel Cadonau réclame des compagnies aériennes sans musulmans,09 janvier 2015,Manuel Cadonau,Membre UDC,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fmanuel_cadonau_1_b0743365b8.jfif&w=3840&q=75,UDC - SG
"Marc Falquet: ""Si on change de sexe, ça sera des malades à vie""",11 avril 2025,Marc Falquet,Député au Grand Conseil,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFALQUET_Marc_68a13f69af.jpg&w=3840&q=75,UDC - GE
Marc Früh au service de la propagande de l'Etat génocidaire israélien,04 juin 2024,Marc Früh,Membre,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMarc_Frueh_e10881bec5.png&w=3840&q=75,UDF - BE
Marc-Olivier Buffat tient des propos transphobes,26 octobre 2023,Marc-Olivier Buffat,"Député au Grand Conseil vaudois, membre du comité directeur du PLR Suisse",/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fmarc_olivier_buffat_1_e916f502ad.jpg&w=3840&q=75,PLR - VD
Marcel Dettling : «La violence contre les femmes est un problème importé»,15 décembre 2025,Marcel Dettling,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMarcel_Dettling2_ca375535af.png&w=3840&q=75,UDC - SZ
Marco Chiesa attaque les villes de gauche et parle de « parasites »,01 août 2021,Marco Chiesa,Président de l'UDC,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMarco_Chiesa_d5758a82eb.png&w=3840&q=75,UDC - TI
Mattia Mettler dénonce la migration de masse dans un journal identitaire autrichien,11 janvier 2024,Mattia Mettler,Président jeune UDC Schwytz,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMattia_Mettler_307be85651.jpeg&w=3840&q=75,UDC - SZ
Mattia Mettler fait un geste symbolisant la suprématie blanche,23 mai 2023,Mattia Mettler,Président jeune UDC Schwytz,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMattia_Mettler_307be85651.jpeg&w=3840&q=75,UDC - SZ
Menacé de mort après un tout-ménage haineux de l'UDC Lucerne,01 décembre 2005,SVP Stadt Luzern,Section locale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - LU
Messages sexistes: Christian Lüscher dérape sur WhatsApp,17 juin 2022,Christian Lüscher,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FChristian_Luescher_fd473a6ed1.png&w=3840&q=75,PLR - GE
« Méthodes de SS »: Les Jeunes UDC fliquent les enseignants,06 septembre 2014,Junge SVP CH,Parti national Jeunes,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
Meyrin : le président UDC du Conseil municipal condamné pour violences domestiques,13 avril 2022,Mietglied SVP GE / Membre UDC GE,Président du Conseil municipal de Meyrin (GE),/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fquestion_mark_vector_icon_4037039933_4a92b66344.jpg&w=3840&q=75,UDC - GE
Michaël Buffat soupçonné de violences conjugales,07 octobre 2023,Michaël Buffat,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMichael_Buffat_1_b759197d48.png&w=3840&q=75,UDC - VD
Michael Graber compare Charlie Kirk à Martin Luther King,19 septembre 2025,Michael Graber,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FMichael_Graber_fd2b3bef7b.jpg&w=3840&q=75,UDC - VS
"NON à l'antisémitisme islamiste et woke, Bâle interdit l'affichage",11 mai 2024,Junge SVP CH,Parti politique,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fudc_f7abebfbbf.png&w=3840&q=75,UDC - CH
Naveen Hofstetter (UDC) définitivement condamné pour racisme et homophobie,28 septembre 2024,Naveen Hofstetter,Candidat au Grand Conseil,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FNaveen_Hofstetter_f365ca972b.png&w=3840&q=75,UDC - AG
Nicolas Kolly associe le débat sur la régulation des loups à celui sur l'asile,13 octobre 2024,Nicolas Kolly,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FNicolas_Kolly_5be80e64ac.png&w=3840&q=75,UDC - FR
Nicolas Rimoldi gifle sans remords un député bernois,21 avril 2025,Nicolas Rimoldi,Président Mass-Voll,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FNicolas_Rimoldi_e0a12836d7.png&w=3840&q=75,Mass-Voll - ZH
Nicolas Rimoldi reconnu coupable de diffamation,24 septembre 2025,Nicolas Rimoldi,Président de Mass-Voll,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FNicolas_Rimoldi_e0a12836d7.png&w=3840&q=75,Mass-Voll - ZH
Nicolas Rimoldi refuse de porter un masque dans le train durant la pandémie de Covid-19,19 novembre 2025,Nicolas Rimoldi,Président de Mass-Voll,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FNicolas_Rimoldi_e0a12836d7.png&w=3840&q=75,Mass-Voll - ZH
Nidegger dérape: moqueries transphobes et idéologie complotiste,01 février 2024,Yves Nidegger,Député au Grand Conseil,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FYves_Nidegger_50ce8d6773.png&w=3840&q=75,UDC - GE
Nidegger évoque la difficulté de distinguer l’homophobie de la nécrophilie ou de la zoophilie,30 mars 2017,Yves Nidegger,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FYves_Nidegger_50ce8d6773.png&w=3840&q=75,UDC - GE
"Nidegger tweete ""Climat akbar!"" pour dénoncer des activistes du climat",20 septembre 2022,Yves Nidegger,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FYves_Nidegger_50ce8d6773.png&w=3840&q=75,UDC - GE
Nils Fiechter explique ses liens avec l'extrême droite sur Hoch2,04 avril 2024,Nils Fiechter,Président des Jeunes UDC suisses,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FNils_Fiechter_Profilbild_720x720_1_621897900_429bf815e8.jpg&w=3840&q=75,UDC - BE
Nils Fiechter réduit l’identité de genre à deux cases,17 septembre 2023,Nils Fiechter,Chef de la stratégie des Jeunes UDC,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FNils_Fiechter_Profilbild_720x720_1_621897900_429bf815e8.jpg&w=3840&q=75,UDC - BE
Nils Fiechter s’en prend à une touriste en burqa,11 septembre 2025,Nils Fiechter,Député au Grand Conseil de Berne,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FNils_Fiechter_Profilbild_720x720_1_621897900_429bf815e8.jpg&w=3840&q=75,UDC - BE
Nina Fehr Düsel s’en prend à la stratégie nationale contre le racisme et l’antisémitisme,10 décembre 2025,Nina Fehr Düsel,Conseillère nationale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FNina_Fehr_Duesel_b2797ea230.jpg&w=3840&q=75,UDC - ZH
Olivier Chanson fait campagne sur le thème du grand remplacement,01 janvier 2019,Olivier Chanson,"Candidat UDC au Conseil national, membre des Jeunes UDC",/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Folivier_chanson_1_e48ebb3957.jpg&w=3840&q=75,UDC - ZH
Oskar Freysinger assimile les minarets à des symboles de l'islamisation,03 octobre 2009,Oskar Freysinger,"Conseiller national, membre du Comité d’Egerkingen",/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFreysinger2_7c5ca01ac4.png&w=3840&q=75,UDC - VS
"Oskar Freysinger compare des chefs d'État africains à des ""macaques africains""",16 novembre 2002,Oskar Freysinger,Président de l'UDC valaisanne,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFreysinger2_7c5ca01ac4.png&w=3840&q=75,UDC - VS
Oskar Freysinger décore son bureau avec un drapeau lié au néonazisme,26 mars 2013,Oskar Freysinger,Conseiller National et Conseiller d'Etat valaisan,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFreysinger2_7c5ca01ac4.png&w=3840&q=75,UDC - VS
Oskar Freysinger donne une conférence à un parti d'extrême droite du Bas-Valais,11 mai 2024,Oskar Freysinger,Ancien conseiller national UDC,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFreysinger2_7c5ca01ac4.png&w=3840&q=75,UDC - VS
Oskar Freysinger fait de la propagande pour Poutine,11 février 2024,Oskar Freysinger,Ancien conseiller national UDC,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFreysinger2_7c5ca01ac4.png&w=3840&q=75,UDC - VS
"Oskar Freysinger invité par Égalité & Réconciliation, vitrine de l’extrême droite française",31 janvier 2026,Oskar Freysinger,Ancien conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFreysinger2_7c5ca01ac4.png&w=3840&q=75,UDC - VS
Oskar Freysinger justifie sa défaite électorale via une théorie du complot antisémite,09 juillet 2019,Oskar Freysinger,Directeur de campagne à l'UDC,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFreysinger2_7c5ca01ac4.png&w=3840&q=75,UDC - VS
Oskar Freysinger tient des propos déshumanisants à l'encontre des étrangers,22 janvier 2016,Oskar Freysinger,Conseiller d'État,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FFreysinger2_7c5ca01ac4.png&w=3840&q=75,UDC - VS
"PIKOM, porte-voix de l'extrême droite et de sa théorie du grand remplacement",13 novembre 2016,Thomas Fuchs,Président de PIKOM,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FThomas_Fuchs_b31b22f422.png&w=3840&q=75,UDC - BE
PIKOM: Une lettre-type pour dénoncer les candidats à la naturalisation,07 décembre 2009,Anian Liebrand,"Membre PIKOM, président des Jeunes UDC lucernois",/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FAnian_Liebrand_59e4b1158b.png&w=3840&q=75,UDF - LU
"Par un appel à la violence, Christian Imark menace Simonetta Sommaruga",13 septembre 2022,Christian Imark,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FChristian_Imark_dd89f91b3c.png&w=3840&q=75,UDC - SO
Pascal Junod : Un candidat d'extrême droite validé sur la liste UDC,11 septembre 1999,Pascal Junod,Candidat UDC aux élections fédérales,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FPascal_Junod_6b8f466dfb.png&w=3840&q=75,UDC - GE
Patrick Aschwanden prône la remigration,01 janvier 2024,Patrick Aschwanden,Président UDC à Lauerz,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fpatrick_aschwanden_1_a4624a2c31.PNG&w=3840&q=75,UDC - SZ
Patrick Saegasser ne supporte pas le port du voile au parlement des jeunes,08 novembre 2025,Patrick Saegesser,Membre,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FPatrcick_Saegesser_ebeaf3126f.png&w=3840&q=75,UDC - VS
Patrick Saegesser ironise sur les têtes au choco,06 novembre 2025,Patrick Saegesser,Membre,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FPatrcick_Saegesser_ebeaf3126f.png&w=3840&q=75,UDC - VS
Patrizia Mori stigmatise les femmes trans et glorifie la police anti-immigration ICE,20 février 2026,Patrizia Mori,Conseillère communale à Lausanne,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FPatrizia_Mori_0a9bcfc7fc.png&w=3840&q=75,UDC - VD
